id,meal_id,food_servings_id,quantity,notes,created_at
f0010000-0000-0000-0000-000000000001,b1a2c3d4-e5f6-4a1b-8c9d-0e1f2a3b4c5d,43f5b6c2-de9f-46fa-85c0-ccd746da79ef,1.00,Rolled oats,2025-11-07 16:30:00.000000+00
f0010000-0000-0000-0000-000000000002,b1a2c3d4-e5f6-4a1b-8c9d-0e1f2a3b4c5d,fee96fa8-8d49-486d-af97-8dc6a1a7df21,1.00,Fresh blueberries,2025-11-07 16:30:00.000000+00
f0020000-0000-0000-0000-000000000001,b2a3c4d5-e6f7-4b2c-9d0e-1f2a3b4c5d6e,74de1f46-02fe-4b7d-a25c-bc3a9e0eec86,1.00,Whey protein powder,2025-11-07 16:30:00.000000+00
f0020000-0000-0000-0000-000000000002,b2a3c4d5-e6f7-4b2c-9d0e-1f2a3b4c5d6e,827727e5-4efb-46b1-bcfa-1381ddafce2c,1.00,Fresh banana,2025-11-07 16:30:00.000000+00
f0030000-0000-0000-0000-000000000001,b3a4c5d6-e7f8-4c3d-0e1f-2a3b4c5d6e7f,2bb93c69-a0fb-4d82-936c-3526cdaaef24,2.00,Fresh spinach,2025-11-07 16:30:00.000000+00
f0040000-0000-0000-0000-000000000001,b4a5c6d7-e8f9-4d4e-1f2a-3b4c5d6e7f80,9c1a133b-b8b6-4e66-be2c-57a6bc275c8b,1.00,Plain Greek yogurt,2025-11-07 16:30:00.000000+00
f0040000-0000-0000-0000-000000000002,b4a5c6d7-e8f9-4d4e-1f2a-3b4c5d6e7f80,fee96fa8-8d49-486d-af97-8dc6a1a7df21,0.50,Fresh blueberries,2025-11-07 16:30:00.000000+00
f0050000-0000-0000-0000-000000000001,b5a6c7d8-e9f0-4e5f-2a3b-4c5d6e7f8091,827727e5-4efb-46b1-bcfa-1381ddafce2c,1.00,Banana,2025-11-07 16:30:00.000000+00
f0060000-0000-0000-0000-000000000001,11a2b3c4-d5e6-4f1a-2b3c-4d5e6f7a8b9c,ccafc5ed-7e4b-4e23-bc8a-c13fabcdc4aa,1.00,Ground chicken,2025-11-07 16:30:00.000000+00
f0070000-0000-0000-0000-000000000001,12a3b4c5-d6e7-4f2b-3c4d-5e6f7a8b9c0d,f207aa4f-b820-47b2-adca-b96144b0127f,1.00,Ground turkey 93/7,2025-11-07 16:30:00.000000+00
f0070000-0000-0000-0000-000000000002,12a3b4c5-d6e7-4f2b-3c4d-5e6f7a8b9c0d,55422269-d666-45f3-a47b-580178d33bab,0.50,Avocado,2025-11-07 16:30:00.000000+00
